t,target_x,target_y,target_theta,pos_x,pos_y,pos_theta,pos_w0,pos_w1,pos_w2,target_vx,target_vy,target_vtheta
1.120000,-0.166025,-0.210535,0.184326,-0.128074,-0.175139,0.147966,16.325167,-8.149217,-10.846707,-0.406436,-0.387831,0.361665
1.130000,-0.168717,-0.213875,0.187439,-0.130809,-0.178448,0.146933,16.234290,-8.232739,-10.916488,-0.406431,-0.387359,0.394731
1.140000,-0.171424,-0.217233,0.190573,-0.133535,-0.181844,0.146504,16.132526,-8.305470,-11.049709,-0.406146,-0.387844,0.436401
1.150000,-0.174146,-0.220607,0.193730,-0.136390,-0.185189,0.145754,16.038768,-8.388404,-11.137810,-0.406112,-0.387635,0.472258
1.160000,-0.176884,-0.223998,0.196908,-0.139257,-0.188586,0.145322,15.921457,-8.434664,-11.264279,-0.404943,-0.388095,0.511535
1.170000,-0.179638,-0.227406,0.200108,-0.142049,-0.191920,0.145855,15.806037,-8.483584,-11.368159,-0.403808,-0.388204,0.547856
1.180000,-0.182406,-0.230831,0.203329,-0.144764,-0.195299,0.147334,15.752299,-8.540955,-11.455548,-0.403568,-0.389112,0.574736
1.190000,-0.185189,-0.234271,0.206571,-0.147424,-0.198501,0.149277,15.739475,-8.620308,-11.493584,-0.404252,-0.389719,0.592369
1.200000,-0.187987,-0.237728,0.209835,-0.150036,-0.201728,0.152329,15.792274,-8.694276,-11.569970,-0.405635,-0.392267,0.605580
1.210000,-0.190800,-0.241200,0.213120,-0.152681,-0.204919,0.156100,15.886683,-8.778262,-11.597630,-0.407636,-0.394715,0.607914
1.220000,-0.193627,-0.244688,0.216426,-0.155200,-0.208114,0.160366,16.005372,-8.846331,-11.613863,-0.409466,-0.397684,0.603257
1.230000,-0.196469,-0.248191,0.219753,-0.157733,-0.211175,0.166289,16.171942,-8.950245,-11.607227,-0.412691,-0.400765,0.593874
1.240000,-0.199325,-0.251709,0.223101,-0.160145,-0.214225,0.173061,16.410091,-9.025378,-11.580016,-0.415912,-0.405336,0.568114
1.250000,-0.202194,-0.255242,0.226469,-0.162609,-0.217233,0.179040,16.707017,-9.132359,-11.518680,-0.420499,-0.410166,0.534086
1.260000,-0.205078,-0.258789,0.229858,-0.165078,-0.220320,0.185396,16.984490,-9.231388,-11.505856,-0.424695,-0.415560,0.508186
1.270000,-0.207976,-0.262351,0.233268,-0.167704,-0.223366,0.190650,17.260114,-9.339079,-11.456213,-0.428978,-0.420308,0.478722
1.280000,-0.210887,-0.265927,0.236698,-0.170154,-0.226490,0.195620,17.484358,-9.410672,-11.474188,-0.431827,-0.425614,0.460485
1.290000,-0.213811,-0.269517,0.240148,-0.172861,-0.229594,0.200355,17.731711,-9.548293,-11.471650,-0.436571,-0.430271,0.445281
1.300000,-0.216749,-0.273120,0.243619,-0.175557,-0.232757,0.204861,17.922907,-9.615497,-11.502311,-0.438882,-0.435266,0.432643
1.310000,-0.219700,-0.276738,0.247110,-0.178309,-0.235883,0.208239,18.104179,-9.697617,-11.526484,-0.441430,-0.439809,0.422489
1.320000,-0.222664,-0.280368,0.250620,-0.181258,-0.239018,0.211920,18.256570,-9.772492,-11.613782,-0.443549,-0.444851,0.423814
1.330000,-0.225641,-0.284011,0.254151,-0.183510,-0.242036,0.227248,18.375272,-9.792308,-11.701522,-0.443824,-0.449934,0.422305
1.340000,-0.228630,-0.287667,0.257701,-0.184859,-0.244669,0.247152,18.979738,-9.927333,-11.301269,-0.451203,-0.456315,0.304534
1.350000,-0.231632,-0.291336,0.261271,-0.187339,-0.247221,0.255298,19.980606,-10.273704,-10.749523,-0.467733,-0.466673,0.141188
1.360000,-0.234647,-0.295017,0.264861,-0.190057,-0.250167,0.259337,20.455328,-10.372123,-10.789353,-0.473074,-0.477963,0.095624
1.370000,-0.237674,-0.298710,0.268469,-0.192116,-0.252935,0.275805,20.696363,-10.466052,-10.904709,-0.476165,-0.485438,0.091325
1.380000,-0.240712,-0.302416,0.272098,-0.194804,-0.255811,0.282047,21.430501,-10.670618,-10.486097,-0.485962,-0.494803,-0.037075
1.390000,-0.243763,-0.306132,0.275745,-0.197467,-0.259061,0.285038,21.757446,-10.768164,-10.523899,-0.489595,-0.503217,-0.063021
1.400000,-0.246826,-0.309861,0.279412,-0.200394,-0.262240,0.288814,21.931310,-10.925026,-10.590812,-0.493584,-0.507992,-0.056262
1.410000,-0.249900,-0.313600,0.283098,-0.203411,-0.265230,0.293608,22.089177,-10.997699,-10.669323,-0.495061,-0.513600,-0.057167
1.420000,-0.252986,-0.317350,0.286802,-0.205648,-0.267871,0.307873,22.299942,-11.028775,-10.768605,-0.495752,-0.521203,-0.068055
1.430000,-0.256083,-0.321112,0.290525,-0.208387,-0.270885,0.313592,22.988052,-11.224990,-10.482005,-0.504346,-0.532410,-0.173476
1.440000,-0.259191,-0.324883,0.294268,-0.210581,-0.273615,0.329885,23.283014,-11.349141,-10.506841,-0.508037,-0.539984,-0.193244
1.450000,-0.262310,-0.328666,0.298028,-0.213342,-0.276872,0.333093,24.011733,-11.574213,-10.085009,-0.517297,-0.550502,-0.318569
1.460000,-0.265441,-0.332458,0.301807,-0.216664,-0.280347,0.332565,24.193783,-11.731642,-10.151829,-0.520988,-0.555861,-0.312855
1.470000,-0.268582,-0.336260,0.305605,-0.219549,-0.283516,0.340112,24.127143,-11.753867,-10.382375,-0.519177,-0.559126,-0.269601
1.480000,-0.271733,-0.340072,0.309421,-0.222914,-0.287074,0.337900,24.416128,-11.856484,-10.293185,-0.521840,-0.565561,-0.306916
1.490000,-0.274895,-0.343893,0.313255,-0.226636,-0.290868,0.334817,24.289943,-11.884810,-10.585178,-0.519816,-0.568186,-0.246452
1.500000,-0.278068,-0.347723,0.317107,-0.229704,-0.294261,0.339909,24.019131,-11.824910,-10.886383,-0.514310,-0.568547,-0.177103
1.510000,-0.281250,-0.351563,0.320977,-0.233261,-0.298059,0.336313,24.173607,-11.906902,-10.868612,-0.515458,-0.573015,-0.189325
1.520000,-0.284442,-0.355411,0.324864,-0.237146,-0.301876,0.332754,23.929833,-11.905134,-11.179295,-0.511810,-0.573517,-0.114482
1.530000,-0.287645,-0.359267,0.328770,-0.240301,-0.305251,0.339170,23.619127,-11.808392,-11.516509,-0.504993,-0.573910,-0.039843
1.540000,-0.290857,-0.363132,0.332693,-0.243839,-0.308810,0.338416,23.804720,-11.866248,-11.460168,-0.505554,-0.578811,-0.064770
1.550000,-0.294078,-0.367005,0.336634,-0.247575,-0.312418,0.338034,23.699446,-11.853086,-11.714737,-0.502394,-0.581954,-0.017824
1.560000,-0.297309,-0.370886,0.340592,-0.251258,-0.315846,0.338842,23.555146,-11.784048,-11.960009,-0.497348,-0.584678,0.025582
1.570000,-0.300550,-0.374774,0.344567,-0.254210,-0.318807,0.350312,23.496136,-11.718640,-12.200288,-0.492920,-0.589280,0.057253
1.580000,-0.303799,-0.378670,0.348560,-0.257617,-0.322071,0.353406,23.961036,-11.810523,-12.021116,-0.495887,-0.598629,-0.017523
1.590000,-0.307057,-0.382573,0.352570,-0.261224,-0.325539,0.353647,23.942007,-11.845191,-12.035075,-0.494404,-0.600000,-0.008361
1.600000,-0.310324,-0.386483,0.356596,-0.264008,-0.328395,0.366513,23.781950,-11.840251,-12.159525,-0.491003,-0.600000,0.029497
1.610000,-0.313600,-0.390400,0.360640,-0.267733,-0.331657,0.366586,24.094695,-12.038439,-11.622538,-0.495918,-0.600000,-0.058733
1.620000,-0.316884,-0.394323,0.364700,-0.270814,-0.334476,0.379364,23.911191,-12.004145,-11.767768,-0.491510,-0.600000,-0.018860
1.630000,-0.320177,-0.398253,0.368777,-0.273130,-0.336837,0.399820,24.162010,-12.116681,-11.263577,-0.493628,-0.600000,-0.105862
1.640000,-0.323478,-0.402188,0.372871,-0.276596,-0.340137,0.400310,24.732513,-12.430478,-10.311973,-0.503479,-0.600000,-0.269488
1.650000,-0.326786,-0.406130,0.376981,-0.279452,-0.342944,0.414220,24.613593,-12.481401,-10.409452,-0.501904,-0.600000,-0.233288
1.660000,-0.330103,-0.410077,0.381107,-0.283041,-0.346647,0.413535,24.919365,-12.661570,-9.812573,-0.506514,-0.600000,-0.331124
1.670000,-0.333428,-0.414029,0.385250,-0.286914,-0.350367,0.412731,24.753491,-12.685793,-9.978936,-0.503870,-0.600000,-0.282853
1.680000,-0.336760,-0.417986,0.389409,-0.290123,-0.353840,0.417191,24.533825,-12.626245,-10.185299,-0.498455,-0.600000,-0.233226
1.690000,-0.340099,-0.421949,0.393584,-0.292745,-0.356710,0.432739,24.558045,-12.748550,-10.066179,-0.499765,-0.600000,-0.236074
1.700000,-0.343446,-0.425916,0.397774,-0.296232,-0.360069,0.438850,24.939070,-13.000046,-9.357039,-0.507005,-0.600000,-0.349644
1.710000,-0.346800,-0.429888,0.401981,-0.299164,-0.363092,0.447839,24.949296,-13.033192,-9.193468,-0.505677,-0.600000,-0.368690
1.720000,-0.350161,-0.433863,0.406203,-0.301680,-0.365747,0.462690,25.120198,-13.224120,-8.821452,-0.509968,-0.600000,-0.416356
1.730000,-0.353529,-0.437843,0.410441,-0.303652,-0.367996,0.483939,25.485685,-13.513950,-8.113339,-0.518487,-0.600000,-0.522491
1.740000,-0.356903,-0.441827,0.414694,-0.307344,-0.371752,0.477927,26.062706,-13.935564,-7.013708,-0.532510,-0.600000,-0.692444
1.750000,-0.360284,-0.445814,0.418963,-0.311903,-0.376172,0.467303,25.781776,-13.978175,-7.449348,-0.529407,-0.600000,-0.589638
1.760000,-0.363672,-0.449805,0.423247,-0.316544,-0.380118,0.460368,25.255965,-13.780530,-8.222067,-0.517692,-0.600000,-0.440560
1.770000,-0.367066,-0.453798,0.427546,-0.322030,-0.384666,0.450634,24.788494,-13.539467,-8.825266,-0.505213,-0.600000,-0.328218
1.780000,-0.370465,-0.457795,0.431860,-0.327730,-0.389091,0.438610,24.107460,-13.055566,-9.665562,-0.484353,-0.600000,-0.187732
1.790000,-0.373871,-0.461794,0.436190,-0.332244,-0.393457,0.420512,23.323194,-12.519363,-10.625120,-0.461413,-0.600000,-0.024200
1.800000,-0.377283,-0.465796,0.440534,-0.336741,-0.397629,0.413069,22.587889,-12.377729,-11.688715,-0.450392,-0.600000,0.200221
1.810000,-0.380700,-0.469800,0.444893,-0.341055,-0.401469,0.408015,22.102887,-12.190407,-12.262492,-0.439595,-0.600000,0.318231
